"iata","name","city","subd","country","lat","lon","iso"
"OCA","Ocean Reef Club Airport","Key Largo","Florida","United States of America","25.32432","-80.27573","US"
"CYT","Yakataga Airport","Yakataga","Alaska","United States of America","60.08085","-142.49549","US"
"FWL","Farewell Airport","Farewell","Alaska","United States of America","62.50918","-153.89063","US"
"CSE","Crested Butte Airpark","Crested Butte","Colorado","United States of America","38.85194","-106.93282","US"
"CUS","Columbus Municipal Airport","Columbus","New Mexico","United States of America","31.82371","-107.62697","US"
"JCY","Lbj Ranch Airport","Johnson City","Texas","United States of America","30.25181","-98.62253","US"
"ICY","Icy Bay Airport","Icy Bay","Alaska","United States of America","59.96902","-141.66177","US"
"HGZ","Hog River Airport","Hogatza","Alaska","United States of America","66.17613","-155.68482","US"
"GWV","Fokker Field","Bush","Louisiana","United States of America","30.59317","-89.87348","US"
"BYW","Blakely Island Airport","Blakely Island","Washington","United States of America","48.57899","-122.82629","US"
"DRF","Drift River Airport","Kenai","Alaska","United States of America","60.58887","-152.16198","US"
"BDF","Rinkenberger Airport","Bradford","Illinois","United States of America","41.23087","-89.61565","US"
"CTO","Calverton Executive Airpark","Calverton","New York","United States of America","40.9","-72.8","US"
"RFK","Rollang Field","Rolling Fork","Mississippi","United States of America","32.95429","-90.84593","US"
"BCS","Southern Seaplane Airport","Belle Chasse","Louisiana","United States of America","29.86604","-90.02229","US"
"CWS","Center Island Airport","Center Island","Washington","United States of America","48.4901","-122.83212","US"
"DUF","Pine Island Airport","Corolla","North Carolina","United States of America","36.2535","-75.78852","US"
"SSW","Stuart Island Airpark","Stuart Island","Washington","United States of America","48.67288","-123.17575","US"
"FOB","Fort Bragg Airport","Fort Bragg","California","United States of America","39.47433","-123.79557","US"
"MHN","Hooker County Airport","Mullen","Nebraska","United States of America","42.04216","-101.05966","US"
"AXB","Maxson Airfield","Alexandria Bay","New York","United States of America","44.31672","-75.89967","US"
"REE","Reese Airpark","Lubbock","Texas","United States of America","33.59476","-102.04342","US"
"AFT","Afutara Aerodrome","Bila","Malaita","Solomon Islands","-9.19139","160.94861","SB"
"RNA","Ulawa Airport","Arona","","Solomon Islands","-9.86054","161.97955","SB"
"ATD","Uru Harbour Airport","Atoifi","","Solomon Islands","-8.87333","161.011","SB"
"VEV","Barakoma Airport","Barakoma","","Solomon Islands","-7.91278","156.70599","SB"
"BPF","Batuna Aerodrome","Batuna Mission Station","Western Province","Solomon Islands","-8.56203","158.11931","SB"
"GEF","Geva Airport","Liangia","","Solomon Islands","-7.57583","156.597","SB"
"AKS","Auki Airport","Auki","","Solomon Islands","-8.70257","160.68201","SB"
"BNY","Bellona/Anua Airport","Anua","","Solomon Islands","-11.30222","159.79833","SB"
"CHY","Choiseul Bay Airport","","Choiseul","Solomon Islands","-6.71194","156.39611","SB"
"BAS","Ballalae Airport","Ballalae","","Solomon Islands","-6.99075","155.88666","SB"
"FRE","Fera/Maringe Airport","Fera Island","Isabel","Solomon Islands","-8.1075","159.577","SB"
"HIR","Honiara International Airport","Honiara","Guadalcanal","Solomon Islands","-9.428","160.05499","SB"
"MBU","Babanakira Airport","Mbambanakira","Guadalcanal","Solomon Islands","-9.7475","159.839","SB"
"AVU","Avu Avu Airport","","Guadalcanal","Solomon Islands","-9.86833","160.41056","SB"
"IRA","Ngorangora Airport","Kirakira","","Solomon Islands","-10.4497","161.89799","SB"
"SCZ","Santa Cruz/Graciosa Bay/Luova Airport","Santa Cruz/Graciosa Bay/Luova","Temotu","Solomon Islands","-10.7203","165.795","SB"
"MUA","Munda Airport","","","Solomon Islands","-8.32797","157.263","SB"
"GZO","Nusatupe Airport","Gizo","","Solomon Islands","-8.09778","156.864","SB"
"MNY","Mono Airport","Stirling Island","","Solomon Islands","-7.41694","155.565","SB"
"PRS","Parasi Airport","Parasi","","Solomon Islands","-9.64167","161.425","SB"
"RNL","Rennell/Tingoa Airport","Rennell Island","Rennell and Bellona","Solomon Islands","-11.5339","160.063","SB"
"EGM","Sege Airport","Sege","","Solomon Islands","-8.57889","157.87601","SB"
"NNB","Santa Ana Airport","Santa Ana Island","","Solomon Islands","-10.84799","162.45411","SB"
"RUS","Marau Airport","Marau","","Solomon Islands","-9.86167","160.825","SB"
"VAO","Suavanao Airport","Suavanao","","Solomon Islands","-7.58556","158.731","SB"
"XYA","Yandina Airport","Yandina","","Solomon Islands","-9.09282","159.21841","SB"
"KGE","Kagau Island Airport","Kagau Island","","Solomon Islands","-7.333","157.58299","SB"
"KWS","Kwailabesi Airport","Kwailabesi","","Solomon Islands","-8.36051","160.77513","SB"
"GTA","Gatokae Airport","Gatokae","","Solomon Islands","-8.73917","158.20306","SB"
"RIN","Ringi Cove Airport","Ringi Cove","","Solomon Islands","-8.12639","157.14301","SB"
"RBV","Ramata Airport","Ramata","","Solomon Islands","-8.16806","157.64301","SB"
"CEX","Chena Hot Springs Airport","Chena Hot Springs","Alaska","United States of America","65.05183","-146.04743","US"
"SOL","Solomon State Field","Solomon","Alaska","United States of America","64.56064","-164.44233","US"
"HED","Herendeen Bay Airport","Herendeen Bay","Alaska","United States of America","55.80139","-160.89925","US"
"TWE","Taylor Airport","Taylor","Alaska","United States of America","65.67928","-164.79881","US"
"LNI","Lonely Air Station","Lonely","Alaska","United States of America","70.91075","-153.24221","US"
"CDL","Candle 2 Airport","Candle","Alaska","United States of America","65.90766","-161.92631","US"
"BSW","Boswell Bay Airport","Boswell Bay","Alaska","United States of America","60.42306","-146.14591","US"
"INU","Nauru International Airport","Yaren District","Yaren","Nauru","-0.54746","166.91901","NR"
"ATP","Aitape Airport","Aitape","Sandaun","Papua New Guinea","-3.14361","142.34681","PG"
"AMU","Amanab Airport","Amanab","Sandaun","Papua New Guinea","-3.586","141.21433","PG"
"ADC","Andakombe Airport","Andekombe","Gulf","Papua New Guinea","-7.13722","145.74472","PG"
"AIE","Aiome Airport","Aiome","Madang","Papua New Guinea","-5.1457","144.7307","PG"
"KPM","Kompiam Airport","","Enga","Papua New Guinea","-5.38167","143.92472","PG"
"AUJ","Ambunti Airport","Ambunti","East Sepik","Papua New Guinea","-4.21567","142.82317","PG"
"AWB","Awaba Airport","Awaba","Western Province","Papua New Guinea","-8.00611","142.74835","PG"
"AYU","Aiyura Airport","Aiyura Valley","Eastern Highlands","Papua New Guinea","-6.33806","145.90417","PG"
"VMU","Baimuru Airport","Baimuru","Gulf","Papua New Guinea","-7.49686","144.8199","PG"
"BDZ","Baindoung Airport","","Morobe","Papua New Guinea","-6.34722","146.94222","PG"
"BUA","Buka Airport","Buka Island","Bougainville","Papua New Guinea","-5.42232","154.673","PG"
"OPU","Balimo Airport","Balimo","Western Province","Papua New Guinea","-8.05","142.933","PG"
"BUL","Bulolo Airport","Bulolo","Morobe","Papua New Guinea","-7.21629","146.64954","PG"
